RPM,MAP,VE New Rear,VE New Front,,,,,,,,,,,,,,,,
3269,50.15,83.5,91,,,,,,,,,,,,,,,,
3279,51.63,83.5,90,,,,,,,,,,,,,,,,
3288,55.32,84,91,,,,,,,,,,,,,,,,
3299,57.53,82.5,89,,,,,,,,,,,,,,,,
3302,57.53,85,90,,,,,,,,,,,,,,,,
3316,57.53,84,90.5,,,,,,,,,,,,,,,,
3317,57.16,85,91,,,,,,,,,,,,,,,,
3340,57.53,83.5,92,,,,,,,,,,,,,,,,
3339,57.53,85,92,,,,,,,,,,,,,,,,
3348,57.16,85,92,,,,,,,,,,,,,,,,
3356,57.16,87.5,92,,,,,,,,,,,,,,,,
3369,56.79,87,92,,,,,,,,,,,,,,,,
3375,56.79,85,92,,,,,,,,,,,,,,,,
3387,56.06,89,93.5,,,,,,,,,,,,,,,,
3393,55.69,90,92.5,,,,,,,,,,,,,,,,
3407,56.06,86,92,,,,,,,,,,,,,,,,
3406,55.69,86.5,92.5,,,,,,,,,,,,,,,,
3430,55.32,90,92.5,,,,,,,,,,,,,,,,
3430,55.32,87.5,94,,,,,,,,,,,,,,,,
3445,55.32,88,99.5,,,,,,,,,,,,,,,,
3452,55.32,89,96.5,,,,,,,,,,,,,,,,
3461,54.58,92.5,95,,,,,,,,,,,,,,,,
3475,54.58,94,93,,,,,,,,,,,,,,,,
3463,19.52,82,94,,,,,,,,,,,,,,,,
3250,18.05,83,84.5,,,,,,,,,,,,,,,,
3137,18.05,83.5,79,,,,,,,,,,,,,,,,
2947,18.05,77.5,78.5,,,,,,,,,,,,,,,,
2776,18.05,75.5,78,,,,,,,,,,,,,,,,
2597,18.42,74,77.5,,,,,,,,,,,,,,,,
2602,18.42,73.5,78,,,,,,,,,,,,,,,,
2761,24.69,71,77.5,,,,,,,,,,,,,,,,
2898,30.23,72,86,,,,,,,,,,,,,,,,
2948,33.55,78,92,,,,,,,,,,,,,,,,
2858,37.97,76,83,,,,,,,,,,,,,,,,
2898,41.3,79.5,83.5,,,,,,,,,,,,,,,,
2877,42.77,81.5,84,,,,,,,,,,,,,,,,
2886,45.72,85,85,,,,,,,,,,,,,,,,
2894,48.68,86,85.5,,,,,,,,,,,,,,,,
2888,49.04,86.5,86.5,,,,,,,,,,,,,,,,
2890,49.41,86.5,84.5,,,,,,,,,,,,,,,,
2886,49.04,87.5,86,,,,,,,,,,,,,,,,
2888,49.04,88,86,,,,,,,,,,,,,,,,
2892,49.41,88,86.5,,,,,,,,,,,,,,,,
2896,49.41,87,86.5,,,,,,,,,,,,,,,,
2901,48.68,87.5,87,,,,,,,,,,,,,,,,
2896,49.41,88,86,,,,,,,,,,,,,,,,
2908,49.04,87.5,86,,,,,,,,,,,,,,,,
2905,49.04,87.5,85,,,,,,,,,,,,,,,,
2909,49.04,87.5,86,,,,,,,,,,,,,,,,
2917,49.04,87.5,86,,,,,,,,,,,,,,,,
2917,49.04,87.5,86,,,,,,,,,,,,,,,,
2923,48.68,87.5,87.5,,,,,,,,,,,,,,,,
2933,48.31,88.5,85.5,,,,,,,,,,,,,,,,
2933,48.31,87,85.5,,,,,,,,,,,,,,,,
2941,48.31,88.5,87,,,,,,,,,,,,,,,,
2945,48.31,87,87,,,,,,,,,,,,,,,,
2947,49.41,87,86.5,,,,,,,,,,,,,,,,
2956,49.04,86.5,87.5,,,,,,,,,,,,,,,,
2956,49.41,87.5,87,,,,,,,,,,,,,,,,
2962,49.78,88,87.5,,,,,,,,,,,,,,,,
2963,49.04,88.5,87,,,,,,,,,,,,,,,,
2969,49.41,87.5,85.5,,,,,,,,,,,,,,,,
2973,49.04,87.5,86.5,,,,,,,,,,,,,,,,
2975,49.04,88,87,,,,,,,,,,,,,,,,
2979,49.04,87.5,86.5,,,,,,,,,,,,,,,,
2982,49.04,86.5,86,,,,,,,,,,,,,,,,
2986,48.68,87,86,,,,,,,,,,,,,,,,
2991,49.04,87,86.5,,,,,,,,,,,,,,,,
2991,49.41,86,86.5,,,,,,,,,,,,,,,,
2993,48.31,87,87,,,,,,,,,,,,,,,,
3000,49.04,86,86.5,,,,,,,,,,,,,,,,
2999,49.41,86,86.5,,,,,,,,,,,,,,,,
3006,50.89,88,87,,,,,,,,,,,,,,,,
3015,52.73,89,88.5,,,,,,,,,,,,,,,,
3023,53.1,87,87,,,,,,,,,,,,,,,,
3025,53.47,86,85.5,,,,,,,,,,,,,,,,
3037,55.32,86.5,86.5,,,,,,,,,,,,,,,,
3045,58.64,85,86.5,,,,,,,,,,,,,,,,
3053,59.38,81.5,86,,,,,,,,,,,,,,,,
3062,60.48,83,87,,,,,,,,,,,,,,,,
3064,60.11,83,86,,,,,,,,,,,,,,,,
3078,59.75,83.5,87.5,,,,,,,,,,,,,,,,
3087,59.75,83,88,,,,,,,,,,,,,,,,
3094,59.75,84.5,87,,,,,,,,,,,,,,,,
3102,59.38,84,88,,,,,,,,,,,,,,,,
3109,60.11,84.5,87.5,,,,,,,,,,,,,,,,
3114,59.75,85.5,89.5,,,,,,,,,,,,,,,,
3124,60.11,84,89,,,,,,,,,,,,,,,,
3131,59.01,84,89,,,,,,,,,,,,,,,,
3135,59.75,84,88,,,,,,,,,,,,,,,,
3145,59.01,84,89.5,,,,,,,,,,,,,,,,
3157,59.38,84,88.5,,,,,,,,,,,,,,,,
3152,59.01,85,89,,,,,,,,,,,,,,,,
3171,59.38,85,90,,,,,,,,,,,,,,,,
3176,58.64,84.5,89,,,,,,,,,,,,,,,,
3185,59.75,83.5,89.5,,,,,,,,,,,,,,,,
3190,60.85,84.5,89.5,,,,,,,,,,,,,,,,
3200,61.22,89,90.5,,,,,,,,,,,,,,,,
3213,61.59,85,90,,,,,,,,,,,,,,,,
3219,62.7,85,90.5,,,,,,,,,,,,,,,,
3230,63.07,82.5,88.5,,,,,,,,,,,,,,,,
3240,63.07,85,90.5,,,,,,,,,,,,,,,,
3250,63.8,84,91,,,,,,,,,,,,,,,,
3261,63.8,87,90,,,,,,,,,,,,,,,,
3262,64.17,84,91,,,,,,,,,,,,,,,,
3274,64.17,84,92,,,,,,,,,,,,,,,,
3285,63.8,84,92,,,,,,,,,,,,,,,,
3292,63.8,84.5,91.5,,,,,,,,,,,,,,,,
3301,64.17,90,92,,,,,,,,,,,,,,,,
3313,63.44,88,93.5,,,,,,,,,,,,,,,,
3322,62.7,88.5,91.5,,,,,,,,,,,,,,,,
3328,63.44,89,91,,,,,,,,,,,,,,,,
3338,62.33,89.5,94.5,,,,,,,,,,,,,,,,
3341,61.96,88,96,,,,,,,,,,,,,,,,
3346,61.96,89,91.5,,,,,,,,,,,,,,,,
3355,61.59,89.5,92,,,,,,,,,,,,,,,,
3360,61.96,91,94,,,,,,,,,,,,,,,,
3363,61.59,90,94,,,,,,,,,,,,,,,,
3373,61.59,88.5,91.5,,,,,,,,,,,,,,,,
3382,60.48,92,95,,,,,,,,,,,,,,,,
3387,59.75,92,96.5,,,,,,,,,,,,,,,,
3401,59.75,91,95,,,,,,,,,,,,,,,,
3411,59.75,90.5,96.5,,,,,,,,,,,,,,,,
3427,62.7,91,98,,,,,,,,,,,,,,,,
3435,70.08,89.5,96,,,,,,,,,,,,,,,,
3472,78.2,87.5,93,,,,,,,,,,,,,,,,
3461,80.41,84.5,91,,,,,,,,,,,,,,,,
3478,81.15,82.5,90,,,,,,,,,,,,,,,,
3487,82.62,86,89,,,,,,,,,,,,,,,,
3522,83.73,89,94,,,,,,,,,,,,,,,,
3528,86.68,87,98,,,,,,,,,,,,,,,,
3552,90,91,95,,,,,,,,,,,,,,,,
3568,91.48,90,92,,,,,,,,,,,,,,,,
3581,92.59,92,92,,,,,,,,,,,,,,,,
3600,92.59,96,92,,,,,,,,,,,,,,,,
3611,92.59,90.5,93,,,,,,,,,,,,,,,,
3628,92.59,96.5,93,,,,,,,,,,,,,,,,
3673,93.69,95,94,,,,,,,,,,,,,,,,
3674,94.06,91.5,95.5,,,,,,,,,,,,,,,,
3694,94.06,93,93.5,,,,,,,,,,,,,,,,
3707,94.43,95.5,93.5,,,,,,,,,,,,,,,,
3710,94.8,96.5,93.5,,,,,,,,,,,,,,,,
3743,94.06,95.5,93,,,,,,,,,,,,,,,,
3755,93.69,98,98,,,,,,,,,,,,,,,,
3765,92.96,97.5,95.5,,,,,,,,,,,,,,,,
3784,93.69,95.5,97,,,,,,,,,,,,,,,,
3799,93.69,99,97,,,,,,,,,,,,,,,,
3808,94.43,98,98.5,,,,,,,,,,,,,,,,
3820,93.69,100.5,98,,,,,,,,,,,,,,,,
3768,35.76,100.5,108,,,,,,,,,,,,,,,,
3709,26.17,59,75,,,,,,,,,,,,,,,,
3544,19.16,79.5,71.5,,,,,,,,,,,,,,,,
3371,18.42,88,77.5,,,,,,,,,,,,,,,,
3177,22.85,90.5,89.5,,,,,,,,,,,,,,,,
3160,32.44,71,93,,,,,,,,,,,,,,,,
3262,39.82,65.5,77.5,,,,,,,,,,,,,,,,
3185,59.38,76,77.5,,,,,,,,,,,,,,,,
3225,67.86,80,83.5,,,,,,,,,,,,,,,,
3220,75.24,80.5,85.5,,,,,,,,,,,,,,,,
3227,80.41,80.5,84.5,,,,,,,,,,,,,,,,
3240,85.94,77,84,,,,,,,,,,,,,,,,
3246,85.58,77.5,86,,,,,,,,,,,,,,,,
3251,85.94,77.5,87.5,,,,,,,,,,,,,,,,
3256,85.58,78,88,,,,,,,,,,,,,,,,
3269,85.58,87.5,101,,,,,,,,,,,,,,,,
3287,85.21,92.5,94.5,,,,,,,,,,,,,,,,
3283,85.94,83,89.5,,,,,,,,,,,,,,,,
3291,85.58,80.5,88.5,,,,,,,,,,,,,,,,
3311,84.47,83,90.5,,,,,,,,,,,,,,,,
3306,83.73,82,90.5,,,,,,,,,,,,,,,,
3303,78.57,76.5,82.5,,,,,,,,,,,,,,,,
3311,68.97,81,93,,,,,,,,,,,,,,,,
3293,56.06,84.5,92.5,,,,,,,,,,,,,,,,
3271,30.96,74.5,95.5,,,,,,,,,,,,,,,,
3197,22.85,57,74,,,,,,,,,,,,,,,,
3231,20.26,78.5,74,,,,,,,,,,,,,,,,
3239,18.05,82,76,,,,,,,,,,,,,,,,
3258,17.68,103,88,,,,,,,,,,,,,,,,
3240,17.68,80,102,,,,,,,,,,,,,,,,
3243,17.68,80,79,,,,,,,,,,,,,,,,
3218,17.31,80,79.5,,,,,,,,,,,,,,,,
3208,16.94,80,79.5,,,,,,,,,,,,,,,,
3193,16.94,80,79.5,,,,,,,,,,,,,,,,
3168,16.94,80,79.5,,,,,,,,,,,,,,,,
3175,16.57,80,79.5,,,,,,,,,,,,,,,,
3169,16.57,80,80,,,,,,,,,,,,,,,,
3157,16.57,80,80,,,,,,,,,,,,,,,,
3154,16.57,80,80,,,,,,,,,,,,,,,,
3138,16.57,79.5,80,,,,,,,,,,,,,,,,
3120,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3116,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3115,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3100,16.57,79.5,79,,,,,,,,,,,,,,,,
3096,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3080,16.57,79.5,79,,,,,,,,,,,,,,,,
3070,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3070,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3056,16.57,79.5,79,,,,,,,,,,,,,,,,
3050,16.94,79.5,79,,,,,,,,,,,,,,,,
3042,16.94,79,79,,,,,,,,,,,,,,,,
3034,16.94,79,79,,,,,,,,,,,,,,,,
3011,16.94,79,79,,,,,,,,,,,,,,,,
3011,16.94,79,79,,,,,,,,,,,,,,,,
3002,16.94,79,79,,,,,,,,,,,,,,,,
3000,16.94,79,79,,,,,,,,,,,,,,,,
2985,16.94,79,79,,,,,,,,,,,,,,,,
2983,16.57,79,79,,,,,,,,,,,,,,,,
2976,16.57,79,79,,,,,,,,,,,,,,,,
2965,16.57,78.5,79,,,,,,,,,,,,,,,,
2959,16.57,78.5,79,,,,,,,,,,,,,,,,
2947,16.57,78.5,79.5,,,,,,,,,,,,,,,,
2940,16.57,78.5,79,,,,,,,,,,,,,,,,
2934,16.57,78.5,79,,,,,,,,,,,,,,,,
2928,16.94,78.5,79,,,,,,,,,,,,,,,,
2922,16.94,78,79,,,,,,,,,,,,,,,,
2910,16.94,78,78.5,,,,,,,,,,,,,,,,
2906,16.94,78,79,,,,,,,,,,,,,,,,
2893,16.94,78,79,,,,,,,,,,,,,,,,
2759,16.94,77,78.5,,,,,,,,,,,,,,,,
2595,17.31,76,78.5,,,,,,,,,,,,,,,,
2440,18.05,74.5,78.5,,,,,,,,,,,,,,,,
2279,18.79,72.5,78.5,,,,,,,,,,,,,,,,
2148,19.52,68.5,76.5,,,,,,,,,,,,,,,,
2083,20.26,67.5,75.5,,,,,,,,,,,,,,,,
2176,21,66.5,76,,,,,,,,,,,,,,,,
2374,19.89,68,77,,,,,,,,,,,,,,,,
2531,18.79,72.5,78,,,,,,,,,,,,,,,,
2687,17.68,73.5,78.5,,,,,,,,,,,,,,,,
2869,17.31,77,78.5,,,,,,,,,,,,,,,,
2991,16.94,79,79,,,,,,,,,,,,,,,,
3097,16.57,79.5,79,,,,,,,,,,,,,,,,
3172,16.2,80,80,,,,,,,,,,,,,,,,
3238,16.2,80.5,80,,,,,,,,,,,,,,,,
3284,16.2,80.5,80,,,,,,,,,,,,,,,,
3266,16.2,80.5,80,,,,,,,,,,,,,,,,
3267,16.2,80.5,80,,,,,,,,,,,,,,,,
3256,16.2,80.5,80,,,,,,,,,,,,,,,,
3240,16.2,80.5,80,,,,,,,,,,,,,,,,
3229,16.2,80.5,80,,,,,,,,,,,,,,,,
3214,15.84,80.5,80,,,,,,,,,,,,,,,,
3215,16.2,80.5,80,,,,,,,,,,,,,,,,
3204,16.2,80.5,80,,,,,,,,,,,,,,,,
3200,16.2,80.5,80,,,,,,,,,,,,,,,,
3183,16.2,80,80,,,,,,,,,,,,,,,,
3175,16.2,80,80,,,,,,,,,,,,,,,,
3162,16.2,80,80,,,,,,,,,,,,,,,,
3159,16.2,80,80,,,,,,,,,,,,,,,,
3150,16.2,80,80,,,,,,,,,,,,,,,,
3137,16.2,80,80,,,,,,,,,,,,,,,,
3132,16.2,80,80,,,,,,,,,,,,,,,,
3120,16.57,80,79.5,,,,,,,,,,,,,,,,
3114,16.2,79.5,79.5,,,,,,,,,,,,,,,,
3105,16.57,80,79.5,,,,,,,,,,,,,,,,
3097,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3088,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3083,16.57,80,79.5,,,,,,,,,,,,,,,,
3073,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3061,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3060,16.57,79.5,79.5,,,,,,,,,,,,,,,,
3043,16.57,79,79.5,,,,,,,,,,,,,,,,
3042,16.57,79,79,,,,,,,,,,,,,,,,
3030,16.57,79,79,,,,,,,,,,,,,,,,
3031,16.57,79,79,,,,,,,,,,,,,,,,
3018,16.57,79,79,,,,,,,,,,,,,,,,
3016,16.57,79,79.5,,,,,,,,,,,,,,,,
3005,16.57,79,79.5,,,,,,,,,,,,,,,,
2994,16.57,79,79.5,,,,,,,,,,,,,,,,
2993,18.05,78.5,78.5,,,,,,,,,,,,,,,,
2982,18.79,77,78,,,,,,,,,,,,,,,,
2980,18.79,77,78,,,,,,,,,,,,,,,,
2967,18.79,77,78,,,,,,,,,,,,,,,,
2967,18.79,77,78,,,,,,,,,,,,,,,,
2957,18.79,77,78,,,,,,,,,,,,,,,,
2956,18.79,77,78,,,,,,,,,,,,,,,,
2940,19.16,76.5,78,,,,,,,,,,,,,,,,
2936,18.79,76.5,78,,,,,,,,,,,,,,,,
2925,18.79,76.5,78,,,,,,,,,,,,,,,,
2922,19.16,76.5,78,,,,,,,,,,,,,,,,
2912,19.16,75.5,77.5,,,,,,,,,,,,,,,,
2904,19.52,75.5,77.5,,,,,,,,,,,,,,,,
2895,19.16,75.5,77.5,,,,,,,,,,,,,,,,
2887,19.16,75.5,77.5,,,,,,,,,,,,,,,,
2880,19.16,75.5,77.5,,,,,,,,,,,,,,,,
2877,19.16,75.5,77.5,,,,,,,,,,,,,,,,
2871,19.16,75,77,,,,,,,,,,,,,,,,
2862,19.16,75,77,,,,,,,,,,,,,,,,
2859,19.16,75,77.5,,,,,,,,,,,,,,,,
2848,19.16,75,77.5,,,,,,,,,,,,,,,,
2839,19.52,74.5,77,,,,,,,,,,,,,,,,
2832,19.16,74.5,77,,,,,,,,,,,,,,,,
2822,19.16,74.5,77,,,,,,,,,,,,,,,,
2837,19.89,73.5,77,,,,,,,,,,,,,,,,
2820,21.74,72.5,79,,,,,,,,,,,,,,,,
2799,22.48,71,80,,,,,,,,,,,,,,,,
2826,23.58,70.5,81,,,,,,,,,,,,,,,,
2809,23.95,78,90.5,,,,,,,,,,,,,,,,
2834,24.32,77,88.5,,,,,,,,,,,,,,,,
2804,24.32,80.5,84,,,,,,,,,,,,,,,,
2799,24.69,73.5,82.5,,,,,,,,,,,,,,,,
2827,25.8,76,81.5,,,,,,,,,,,,,,,,
2789,26.17,78,81,,,,,,,,,,,,,,,,
2806,26.17,75,82.5,,,,,,,,,,,,,,,,
2807,25.8,77,83,,,,,,,,,,,,,,,,
2799,25.43,75.5,87,,,,,,,,,,,,,,,,
2806,27.27,79,84.5,,,,,,,,,,,,,,,,
2828,29.12,77.5,83,,,,,,,,,,,,,,,,
2882,32.07,86,84.5,,,,,,,,,,,,,,,,
2841,35.39,82,85.5,,,,,,,,,,,,,,,,
2823,40.93,85.5,85,,,,,,,,,,,,,,,,
2829,45.35,85,83.5,,,,,,,,,,,,,,,,
2839,46.46,87,85,,,,,,,,,,,,,,,,
2846,49.78,87.5,85.5,,,,,,,,,,,,,,,,
2852,52,88.5,87,,,,,,,,,,,,,,,,
2854,52.37,89,86,,,,,,,,,,,,,,,,
2863,52.37,88.5,85.5,,,,,,,,,,,,,,,,
2872,52.37,89,85.5,,,,,,,,,,,,,,,,
2874,52.73,89,87,,,,,,,,,,,,,,,,
2876,52.37,89,87,,,,,,,,,,,,,,,,
2880,52.37,89.5,87.5,,,,,,,,,,,,,,,,
2897,54.58,88.5,88.5,,,,,,,,,,,,,,,,
2896,64.91,85.5,87.5,,,,,,,,,,,,,,,,
2915,69.71,83,84.5,,,,,,,,,,,,,,,,
2921,75.61,80.5,83,,,,,,,,,,,,,,,,
2938,78.57,76.5,80.5,,,,,,,,,,,,,,,,
2941,78.2,77,81,,,,,,,,,,,,,,,,
2965,78.57,74,82,,,,,,,,,,,,,,,,
2986,78.57,75,82.5,,,,,,,,,,,,,,,,
2999,78.2,75.5,82.5,,,,,,,,,,,,,,,,
3012,78.57,76,84.5,,,,,,,,,,,,,,,,
3044,82.62,76,84,,,,,,,,,,,,,,,,
3047,84.1,76,85,,,,,,,,,,,,,,,,
3066,80.78,77,85,,,,,,,,,,,,,,,,
3058,71.92,76,88,,,,,,,,,,,,,,,,
3092,68.23,80,87,,,,,,,,,,,,,,,,
3090,65.65,84,90,,,,,,,,,,,,,,,,
3107,59.75,84.5,91,,,,,,,,,,,,,,,,
3105,55.32,86.5,92,,,,,,,,,,,,,,,,
3128,54.58,86,88.5,,,,,,,,,,,,,,,,
3132,54.21,86,91,,,,,,,,,,,,,,,,
3144,53.84,85.5,89.5,,,,,,,,,,,,,,,,
3146,53.47,85,90,,,,,,,,,,,,,,,,
3156,52.73,85,90.5,,,,,,,,,,,,,,,,
3152,48.31,83.5,89,,,,,,,,,,,,,,,,
3173,45.72,83.5,87.5,,,,,,,,,,,,,,,,
3170,43.88,83,90.5,,,,,,,,,,,,,,,,
3174,39.08,83,89.5,,,,,,,,,,,,,,,,
3171,35.39,78,85.5,,,,,,,,,,,,,,,,
3154,27.64,76,81,,,,,,,,,,,,,,,,
3095,23.58,66,75,,,,,,,,,,,,,,,,
3073,21.74,87,73,,,,,,,,,,,,,,,,
3140,21.37,76.5,76.5,,,,,,,,,,,,,,,,
3122,21.37,76,81,,,,,,,,,,,,,,,,
3145,21.37,74,79.5,,,,,,,,,,,,,,,,
3118,21.74,70,76.5,,,,,,,,,,,,,,,,
3136,21,69.5,77,,,,,,,,,,,,,,,,
3111,21,69,75,,,,,,,,,,,,,,,,
3119,21,72.5,72,,,,,,,,,,,,,,,,
3094,21.37,71,74,,,,,,,,,,,,,,,,
3107,21.37,74.5,74.5,,,,,,,,,,,,,,,,
3112,21,74.5,75.5,,,,,,,,,,,,,,,,
3098,21.37,72,75,,,,,,,,,,,,,,,,
3087,21.37,68,76.5,,,,,,,,,,,,,,,,
3093,21,68,76.5,,,,,,,,,,,,,,,,
3075,21.37,72.5,76,,,,,,,,,,,,,,,,
3086,21.37,74,77.5,,,,,,,,,,,,,,,,
3064,21.37,72.5,77.5,,,,,,,,,,,,,,,,
3101,21,72.5,77.5,,,,,,,,,,,,,,,,
3041,21.37,71.5,77.5,,,,,,,,,,,,,,,,
3091,20.63,76.5,77,,,,,,,,,,,,,,,,
3025,21,73.5,77,,,,,,,,,,,,,,,,
3043,20.63,72.5,77,,,,,,,,,,,,,,,,
3083,20.63,74.5,75.5,,,,,,,,,,,,,,,,
3020,21,71,76,,,,,,,,,,,,,,,,
3042,20.26,71,77,,,,,,,,,,,,,,,,
3038,20.26,77,77,,,,,,,,,,,,,,,,
3016,20.26,74,78.5,,,,,,,,,,,,,,,,
3039,20.63,75.5,79,,,,,,,,,,,,,,,,
2994,20.63,73.5,79,,,,,,,,,,,,,,,,
2997,20.63,71.5,78.5,,,,,,,,,,,,,,,,
3040,21,77.5,79,,,,,,,,,,,,,,,,
2993,20.63,74.5,79.5,,,,,,,,,,,,,,,,
3004,20.63,74.5,77,,,,,,,,,,,,,,,,
3013,19.89,74.5,78,,,,,,,,,,,,,,,,
2962,20.63,78.5,81.5,,,,,,,,,,,,,,,,
3021,19.89,90,85.5,,,,,,,,,,,,,,,,
2948,20.63,79.5,86.5,,,,,,,,,,,,,,,,
3000,20.63,79,85.5,,,,,,,,,,,,,,,,
2944,20.63,77,85.5,,,,,,,,,,,,,,,,
2979,20.26,86.5,87.5,,,,,,,,,,,,,,,,
2986,20.63,80.5,87.5,,,,,,,,,,,,,,,,
2949,20.63,80,85.5,,,,,,,,,,,,,,,,
2938,20.26,76.5,86.5,,,,,,,,,,,,,,,,
2951,20.63,82,86.5,,,,,,,,,,,,,,,,
2985,20.63,81.5,85.5,,,,,,,,,,,,,,,,
2913,21,77,84.5,,,,,,,,,,,,,,,,
2909,20.63,77.5,85.5,,,,,,,,,,,,,,,,
2952,20.63,80,87.5,,,,,,,,,,,,,,,,
2944,20.26,80,84.5,,,,,,,,,,,,,,,,
2921,20.26,78,86,,,,,,,,,,,,,,,,
2918,20.26,80,88.5,,,,,,,,,,,,,,,,
2891,20.26,81,86.5,,,,,,,,,,,,,,,,
2922,20.26,82.5,85.5,,,,,,,,,,,,,,,,
2799,20.63,81,87.5,,,,,,,,,,,,,,,,
2713,20.26,79,92,,,,,,,,,,,,,,,,
2605,21,75,83,,,,,,,,,,,,,,,,
2529,22.11,73.5,84.5,,,,,,,,,,,,,,,,
2447,21.74,69.5,80.5,,,,,,,,,,,,,,,,
2458,22.11,70,82.5,,,,,,,,,,,,,,,,
2569,21,76,87.5,,,,,,,,,,,,,,,,
2758,20.26,80.5,90,,,,,,,,,,,,,,,,
2990,19.52,97.5,92,,,,,,,,,,,,,,,,
3092,19.16,93.5,93.5,,,,,,,,,,,,,,,,
3246,18.79,97.5,97.5,,,,,,,,,,,,,,,,
3317,18.42,92.5,96,,,,,,,,,,,,,,,,
3307,18.79,95,100,,,,,,,,,,,,,,,,
3295,18.79,82.5,99.5,,,,,,,,,,,,,,,,
3315,18.42,90.5,100.5,,,,,,,,,,,,,,,,
3306,18.05,89,94,,,,,,,,,,,,,,,,
3240,16.57,79.5,89,,,,,,,,,,,,,,,,
3278,15.84,104.5,80,,,,,,,,,,,,,,,,
3262,15.84,80.5,80,,,,,,,,,,,,,,,,
3255,15.84,80.5,80.5,,,,,,,,,,,,,,,,
3249,15.84,80.5,80,,,,,,,,,,,,,,,,
3234,15.84,80.5,80,,,,,,,,,,,,,,,,
3226,15.84,80.5,80.5,,,,,,,,,,,,,,,,
3218,15.84,80.5,80.5,,,,,,,,,,,,,,,,
3218,15.84,80.5,80,,,,,,,,,,,,,,,,
3208,15.84,80.5,80,,,,,,,,,,,,,,,,
3205,15.84,80.5,80.5,,,,,,,,,,,,,,,,
3200,15.84,80.5,80.5,,,,,,,,,,,,,,,,
3191,15.84,80.5,80,,,,,,,,,,,,,,,,
3184,15.84,80,80,,,,,,,,,,,,,,,,
3167,15.84,80,80,,,,,,,,,,,,,,,,
3164,15.84,80,80,,,,,,,,,,,,,,,,
3152,16.2,80,80,,,,,,,,,,,,,,,,
3151,16.2,80,80,,,,,,,,,,,,,,,,
3116,16.2,80,79.5,,,,,,,,,,,,,,,,
3148,16.2,80,80,,,,,,,,,,,,,,,,
3133,16.2,80,80,,,,,,,,,,,,,,,,
3125,16.2,80,80,,,,,,,,,,,,,,,,
3116,16.57,80,79.5,,,,,,,,,,,,,,,,
3099,16.94,79.5,79.5,,,,,,,,,,,,,,,,
3092,17.68,79,79,,,,,,,,,,,,,,,,
