2281,88.0,83.5,0.849,0.904,84.5,85.0,13.70,2604,42.40,15,160,0.886,0.00,0.00,,,107.60,1032,50.00,38.5,39.5,6.36,4.57,44.74,1.11,8.98,269
2371,88.0,83.5,0.856,0.925,85.0,87.0,13.70,2613,42.03,14,160,0.885,0.00,0.00,,,107.60,1032,50.00,39.0,39.5,6.30,4.57,44.74,1.09,8.98,269
2453,88.0,83.5,0.856,0.918,85.0,86.5,13.70,2615,41.67,14,160,0.885,0.00,0.00,,,107.60,1032,50.00,39.0,39.5,6.29,4.60,44.74,1.09,8.98,269
2531,88.0,83.5,0.849,0.918,84.5,86.5,13.70,2634,41.67,15,160,0.885,0.00,0.00,,,107.60,1032,50.00,39.5,40.0,6.28,4.55,44.74,1.11,8.98,269
2613,88.0,84.0,0.856,0.911,85.0,86.5,13.70,2629,42.03,14,160,0.885,0.00,0.00,,,105.80,1032,50.00,39.0,40.0,6.30,4.61,44.74,1.11,8.98,269
2703,88.0,84.0,0.849,0.911,84.5,86.5,13.70,2637,42.40,15,160,0.885,0.00,0.00,,,105.80,1032,50.00,39.5,40.0,6.45,4.77,45.36,1.13,9.38,269
2781,88.0,85.0,0.856,0.911,85.5,87.5,13.70,2653,43.88,15,160,0.883,0.00,0.00,,,105.80,1032,50.00,40.0,40.5,6.70,5.06,45.36,1.13,9.38,269
2862,88.0,85.0,0.856,0.911,85.5,87.5,13.70,2651,43.51,15,160,0.883,0.00,0.00,,,105.80,1032,50.00,39.5,40.0,6.59,4.99,45.36,1.13,9.38,269
2940,88.0,85.0,0.842,0.890,84.0,85.5,13.70,2668,43.14,15,160,0.883,0.00,0.00,,,104.00,1032,50.00,40.0,40.5,6.52,4.86,45.36,1.13,9.38,269
3031,88.0,85.0,0.842,0.897,84.0,86.5,13.70,2664,43.14,15,160,0.883,0.00,0.00,,,104.00,1032,50.00,40.0,40.5,6.53,4.88,45.36,1.13,9.38,269
3112,88.0,85.0,0.849,0.904,85.0,87.0,13.70,2673,43.51,15,160,0.881,0.00,0.00,,,104.00,1032,50.00,40.5,40.5,6.56,4.82,45.36,1.13,9.38,269
3202,88.0,85.5,0.842,0.911,84.0,88.5,13.70,2687,42.77,15,160,0.881,0.00,0.00,,,104.00,1032,50.00,40.5,41.0,6.48,4.88,45.98,1.13,9.77,269
3280,88.0,85.0,0.842,0.911,84.5,87.5,13.70,2670,43.14,15,160,0.883,0.00,0.00,,,104.00,1032,50.00,40.0,40.5,6.53,4.94,45.98,1.15,10.16,269
3362,88.5,86.0,0.842,0.904,84.0,88.5,13.70,2701,44.25,15,160,0.881,0.00,0.00,,,104.00,1032,50.00,41.0,41.0,6.74,5.01,45.98,1.15,10.16,269
3440,88.5,86.0,0.849,0.925,85.0,89.5,13.70,2692,44.25,15,160,0.881,0.00,0.00,,,104.00,1032,50.00,40.5,41.0,6.72,5.09,45.98,1.15,10.16,269
3522,88.5,86.0,0.849,0.911,85.5,89.0,13.70,2701,44.25,15,162,0.880,0.00,0.00,,,102.20,1032,50.00,41.0,41.0,6.70,5.10,45.98,1.15,10.16,269
3612,88.5,86.5,0.842,0.904,84.5,89.0,13.70,2712,44.25,15,162,0.880,0.00,0.00,,,102.20,1032,50.00,41.0,41.5,6.71,5.13,45.98,1.15,10.55,269
3690,88.5,86.5,0.842,0.897,84.5,88.0,13.70,2712,44.99,15,162,0.880,0.00,0.00,,,102.20,1032,50.00,41.0,41.0,6.85,5.14,46.60,1.15,10.55,269
3772,88.5,87.0,0.842,0.897,84.5,89.0,13.70,2717,45.35,16,162,0.880,0.00,0.00,,,102.20,1032,50.00,41.0,41.5,6.98,5.34,46.60,1.17,10.55,269
3854,88.5,87.5,0.836,0.904,83.5,90.0,13.70,2721,45.35,16,162,0.880,0.00,0.00,,,102.20,1032,50.00,41.0,41.5,6.99,5.34,46.60,1.17,10.55,269
3932,88.5,87.0,0.836,0.884,84.0,87.5,13.70,2724,44.99,16,162,0.880,0.00,0.00,,,102.20,1032,50.00,41.5,41.5,6.85,5.23,46.60,1.17,10.55,269
4022,88.5,87.5,0.836,0.884,84.0,88.5,13.70,2738,45.35,16,162,0.878,0.00,0.00,,,102.20,1032,50.00,41.5,41.5,6.91,5.28,46.60,1.17,10.55,269
4099,88.5,87.0,0.829,0.884,84.5,87.5,13.70,2742,44.99,16,162,0.878,0.00,0.00,,,100.40,1032,50.00,41.5,41.5,6.93,5.30,46.60,1.17,10.55,269
4173,88.5,87.5,0.836,0.884,84.0,88.0,13.70,2751,44.99,16,162,0.878,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,6.94,5.29,47.22,1.17,10.55,269
4259,88.5,87.5,0.829,0.877,83.5,87.5,13.70,2760,44.62,16,162,0.878,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,6.88,5.24,47.22,1.17,10.55,269
4341,89.0,87.5,0.829,0.884,84.0,88.0,13.70,2771,44.62,16,162,0.878,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,6.88,5.28,47.22,1.17,10.55,269
4423,89.0,87.5,0.829,0.890,84.0,88.5,13.70,2776,44.99,16,162,0.878,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,6.93,5.25,47.22,1.17,10.55,269
4501,89.0,87.5,0.822,0.884,83.5,87.0,13.70,2772,44.25,16,162,0.878,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,6.87,5.24,47.22,1.15,10.55,269
4583,89.0,86.5,0.822,0.884,83.5,87.0,13.70,2787,44.25,16,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,6.82,5.16,47.85,1.17,10.55,269
4661,89.0,87.0,0.829,0.884,84.0,87.5,13.70,2794,44.25,16,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,6.87,5.15,47.85,1.17,10.55,269
4743,89.0,86.5,0.829,0.884,84.0,87.0,13.70,2799,43.88,16,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,6.81,5.16,47.85,1.17,10.55,269
4821,89.5,86.5,0.822,0.884,83.5,87.0,13.70,2813,43.88,16,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,6.81,5.14,47.85,1.15,10.55,269
4902,89.5,87.5,0.822,0.877,83.5,87.5,13.70,2821,46.09,17,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,7.39,5.67,47.85,1.23,12.11,269
4992,89.5,87.5,0.849,0.904,86.5,88.0,13.70,2820,47.94,17,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,7.55,5.98,48.47,1.23,12.11,269
5070,89.5,87.0,0.842,0.897,86.0,89.5,13.70,2831,47.94,17,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,7.54,5.78,48.47,1.23,12.11,269
5161,89.5,87.0,0.829,0.870,84.5,86.0,13.70,2839,47.94,17,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,7.44,5.65,48.47,1.21,10.94,269
5242,90.0,87.0,0.829,0.884,85.0,87.5,13.70,2841,46.09,16,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,7.22,5.41,48.47,1.19,10.94,269
5320,90.0,87.0,0.815,0.877,83.5,87.0,13.70,2855,45.35,16,162,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,7.09,5.34,49.09,1.19,10.94,269
5410,90.0,87.0,0.822,0.877,83.5,87.0,13.70,2854,45.35,16,162,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,7.07,5.30,49.09,1.19,10.94,269
5492,90.0,86.5,0.822,0.870,84.0,85.5,13.70,2863,44.62,16,162,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.98,5.28,49.09,1.19,10.94,269
5570,89.5,84.0,0.822,0.877,83.5,84.5,13.80,2875,41.67,15,162,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.25,4.53,49.09,1.13,9.38,269
5652,89.5,83.5,0.815,0.863,83.0,82.0,13.80,2880,40.56,15,162,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.14,4.44,49.09,1.13,9.38,269
5730,89.5,84.0,0.808,0.863,81.5,82.0,13.80,2876,40.56,15,162,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.23,4.54,49.09,1.11,9.38,269
5820,89.5,83.5,0.829,0.890,83.5,84.5,13.80,2885,40.19,15,162,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.19,4.50,49.09,1.13,9.38,269
5910,89.5,83.5,0.808,0.884,83.5,84.0,13.70,2893,40.19,15,162,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.20,4.48,49.71,1.11,9.38,269
5992,89.5,83.5,0.815,0.877,83.0,83.5,13.70,2900,40.19,15,162,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.20,4.48,49.71,1.11,9.38,269
6070,89.5,83.0,0.822,0.877,83.5,83.0,13.70,2904,39.82,15,162,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.14,4.47,49.71,1.11,9.38,269
6152,89.5,82.5,0.815,0.884,83.5,83.0,13.70,2901,39.45,15,162,0.880,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.07,4.41,49.71,1.11,9.38,269
6229,89.0,81.5,0.822,0.884,83.0,81.5,13.70,2910,37.97,14,162,0.883,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,5.72,4.15,49.71,1.07,8.20,269
6320,88.0,79.5,0.801,0.877,79.0,78.5,13.70,2906,35.39,12,162,0.890,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,5.15,3.38,49.71,1.02,5.86,269
6401,82.0,73.5,0.801,0.870,73.5,71.5,13.70,2859,27.64,9,162,0.892,0.00,0.00,,,96.80,1032,50.00,41.0,41.0,3.32,2.23,49.71,0.88,3.13,269
6479,82.0,74.0,0.822,0.925,75.5,74.0,13.70,2851,22.85,7,162,0.892,0.00,0.00,,,96.80,1032,50.00,40.0,40.0,2.88,2.04,49.71,0.80,1.17,269
6561,83.5,77.5,0.856,0.897,80.0,77.5,13.70,2874,20.63,6,162,0.892,0.00,0.00,,,96.80,1032,50.00,39.5,39.5,2.76,1.96,49.09,0.78,1.17,269
6639,83.5,78.5,0.938,1.021,84.0,89.0,13.70,2905,20.26,6,162,0.892,0.00,0.00,,,96.80,1032,50.00,39.5,39.5,2.76,1.95,49.09,0.76,0.00,269
6721,83.5,78.0,0.986,1.007,90.5,86.0,13.70,2860,19.89,6,162,0.892,0.00,0.00,,,96.80,1032,50.00,39.5,39.5,2.76,2.06,49.09,0.76,0.00,269
6803,83.5,79.0,1.000,1.041,93.5,92.0,13.70,2874,19.89,6,162,0.892,0.00,0.00,,,96.80,1032,50.00,39.5,39.5,2.71,2.06,49.09,0.76,0.39,269
6881,84.0,78.0,1.021,0.979,95.5,85.5,13.80,2844,19.89,6,162,0.892,0.00,0.00,,,96.80,1032,50.00,39.5,39.5,2.78,2.05,49.09,0.76,0.39,269
6971,84.0,78.0,1.014,0.966,95.5,84.5,13.80,2839,19.89,6,162,0.892,0.00,0.00,,,96.80,1032,50.00,39.0,39.0,2.80,2.10,48.47,0.76,0.39,269
7053,84.0,78.0,1.007,0.918,95.0,80.0,13.80,2846,20.26,6,162,0.892,0.00,0.00,,,96.80,1032,50.00,39.0,39.0,2.82,2.11,48.47,0.76,0.39,269
7151,84.0,78.0,1.034,0.993,97.5,87.0,13.80,2831,19.89,6,162,0.892,0.00,0.00,,,98.60,1032,50.00,39.0,39.0,2.80,2.09,48.47,0.76,0.39,269
7233,84.0,78.0,0.993,0.911,100.0,79.5,13.80,2805,20.26,6,162,0.892,0.00,0.00,,,98.60,1032,50.00,39.0,39.0,2.81,2.12,48.47,0.76,1.17,269
7331,84.0,77.5,0.993,0.979,93.5,85.0,13.80,2786,20.63,6,162,0.892,0.00,0.00,,,100.40,1032,50.00,39.0,39.0,2.87,2.13,48.47,0.78,1.17,269
7429,82.5,75.5,1.027,0.986,95.0,81.5,13.80,2823,23.95,9,162,0.892,0.00,0.00,,,100.40,1032,50.00,40.0,39.5,3.49,2.86,47.85,0.88,4.30,269
7520,82.5,73.0,0.979,0.938,90.0,77.0,13.80,2850,27.64,10,162,0.892,0.00,0.00,,,100.40,1032,50.00,41.0,41.0,4.26,3.13,47.85,0.94,5.47,269
7602,83.0,75.5,0.877,0.808,81.5,70.5,13.80,2861,29.12,10,162,0.892,0.00,0.00,,,102.20,1032,50.00,41.5,41.5,4.23,3.27,47.85,0.96,5.47,269
7679,85.0,77.0,0.801,0.829,75.5,70.5,13.80,2803,30.60,11,162,0.892,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,4.66,3.31,48.47,0.96,5.47,269
7761,86.0,78.0,0.815,0.849,77.5,73.5,13.80,2821,32.81,13,162,0.892,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.16,3.85,47.85,1.02,8.20,269
7839,88.0,81.5,0.808,0.842,80.0,77.5,13.80,2825,36.50,13,162,0.886,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,6.01,4.33,48.47,1.07,8.20,269
7921,86.0,79.0,0.815,0.856,78.5,76.0,13.80,2813,32.81,11,162,0.892,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,4.67,3.30,47.85,0.98,5.47,269
8011,84.5,77.5,0.856,0.863,81.0,75.0,13.80,2809,30.60,11,162,0.892,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,4.21,2.96,47.85,0.96,5.47,269
8089,84.5,77.0,0.836,0.815,79.0,70.5,13.70,2843,30.60,11,162,0.892,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,4.30,3.02,48.47,0.98,5.86,269
8179,85.0,77.5,0.849,0.897,81.0,78.0,13.70,2833,31.70,11,162,0.892,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,4.53,3.22,48.47,0.98,6.64,269
8249,86.5,78.0,0.849,0.911,82.5,79.5,13.70,2796,34.28,12,162,0.892,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,4.94,3.48,48.47,1.02,7.42,269
8331,87.5,80.5,0.849,0.925,83.5,83.5,13.70,2844,35.02,13,162,0.892,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.30,4.00,48.47,1.04,7.42,269
8412,88.0,80.5,0.863,0.911,85.5,82.5,13.70,2826,35.02,13,162,0.890,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.28,3.87,48.47,1.04,7.81,269
8490,88.0,81.5,0.836,0.877,83.0,80.5,13.70,2824,36.87,14,162,0.886,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.63,4.24,48.47,1.07,8.20,269
8572,88.5,82.0,0.836,0.890,83.5,82.0,13.70,2837,37.97,14,162,0.883,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.87,4.32,48.47,1.07,8.20,269
8650,88.5,82.5,0.842,0.890,84.5,83.0,13.70,2837,37.97,14,162,0.883,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.89,4.24,48.47,1.07,8.20,269
8732,88.5,82.5,0.822,0.884,82.5,82.5,13.70,2850,37.97,14,163,0.883,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.80,4.20,48.47,1.09,8.20,269
8822,88.5,82.5,0.822,0.884,81.5,82.5,13.70,2834,37.97,14,163,0.883,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.77,4.16,48.47,1.09,8.20,269
8900,88.5,81.5,0.829,0.884,83.0,81.5,13.70,2869,37.24,13,163,0.885,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.64,4.08,48.47,1.07,7.81,269
8990,88.0,81.0,0.829,0.884,81.5,80.5,13.80,2847,36.50,13,163,0.888,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.46,3.91,49.09,1.05,7.81,269
9080,88.0,81.0,0.815,0.877,80.5,80.0,13.80,2861,36.13,13,163,0.888,0.00,0.00,,,102.20,1032,50.00,42.0,42.0,5.40,3.94,49.09,1.07,8.20,269
9170,88.0,81.5,0.822,0.884,82.0,80.5,13.80,2856,36.87,14,163,0.886,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,5.56,4.03,49.09,1.07,8.20,269
9260,88.0,81.5,0.849,0.884,84.5,82.5,13.80,2867,36.87,14,162,0.886,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,5.56,4.00,49.09,1.07,8.20,269
9342,88.0,81.5,0.829,0.884,83.0,82.0,13.80,2868,37.24,14,162,0.885,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,5.58,4.02,49.09,1.07,8.20,269
9420,88.5,81.0,0.829,0.890,82.5,81.5,13.80,2893,37.61,14,163,0.885,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,5.76,4.07,49.09,1.09,9.77,269
9502,90.5,84.0,0.822,0.897,84.5,86.0,13.80,2901,42.40,17,163,0.878,0.00,0.00,,,100.40,1032,50.00,42.0,42.0,7.52,5.42,49.71,1.23,14.45,269
9580,90.5,86.5,0.836,0.890,86.0,87.5,13.80,2905,53.47,20,163,0.878,0.00,0.00,,,100.40,1032,50.00,41.0,41.0,8.95,7.34,49.71,1.35,15.23,269
9662,90.0,86.0,0.829,0.884,85.0,87.0,13.80,2909,54.95,20,163,0.878,0.00,0.00,,,100.40,1032,50.00,40.0,40.0,8.85,7.10,49.71,1.37,15.23,269
9740,90.5,86.0,0.815,0.877,84.0,86.5,13.70,2925,54.95,20,163,0.878,0.00,0.00,,,100.40,1032,50.00,40.0,40.0,8.80,6.84,49.71,1.35,15.23,269
9821,90.5,86.0,0.815,0.877,84.0,86.0,13.70,2935,54.58,21,163,0.878,0.00,0.00,,,100.40,1032,50.00,40.0,40.5,8.67,6.70,50.33,1.37,15.23,269
9900,91.0,86.0,0.836,0.877,86.5,86.0,13.70,2947,54.95,21,163,0.878,0.00,0.00,,,100.40,1032,50.00,40.0,40.5,8.75,6.68,50.33,1.37,15.23,269
9982,91.0,85.5,0.829,0.884,86.0,86.0,13.70,2971,54.21,20,163,0.878,0.00,0.00,,,100.40,1032,50.00,40.5,40.5,8.64,6.60,50.33,1.37,15.23,269
10060,91.5,85.5,0.836,0.884,87.0,86.0,13.70,2976,54.21,20,163,0.878,0.00,0.00,,,100.40,1032,50.00,40.5,40.5,8.68,6.61,50.95,1.37,15.63,269
10142,91.0,85.0,0.829,0.890,86.0,86.0,13.70,2975,55.32,21,163,0.878,0.00,0.00,,,98.60,1032,50.00,40.0,40.0,8.99,6.82,50.95,1.39,16.02,269
10224,92.0,85.0,0.842,0.904,88.0,87.5,13.70,2986,55.69,21,163,0.878,0.00,0.00,,,98.60,1032,50.00,40.0,40.0,9.18,6.90,50.95,1.39,14.45,269
10302,92.0,85.5,0.836,0.897,87.5,87.5,13.70,2986,46.46,18,163,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,7.02,5.15,51.57,1.25,12.11,269
10380,92.0,85.5,0.774,0.815,81.0,79.5,13.70,3013,46.09,18,163,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,7.29,5.41,51.57,1.25,12.11,269
10462,92.0,85.5,0.829,0.884,87.0,86.0,13.70,3013,46.46,18,163,0.878,0.00,0.00,,,98.60,1032,50.00,42.0,42.0,7.43,5.50,51.57,1.25,12.11,269
10552,92.5,85.5,0.829,0.877,87.5,85.5,13.70,3024,46.09,18,163,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,7.37,5.52,51.57,1.25,12.11,269
10642,92.0,85.5,0.829,0.870,87.0,84.5,13.70,3016,46.09,18,163,0.878,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,7.39,5.49,51.57,1.25,12.11,269
10720,92.5,85.5,0.822,0.870,86.5,85.0,13.80,3050,45.72,16,163,0.876,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,7.30,5.49,52.20,1.19,10.94,269
10802,91.5,83.0,0.801,0.877,85.5,84.0,13.80,3041,42.40,16,163,0.876,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.65,4.78,52.20,1.19,10.94,269
10883,91.5,83.0,0.795,0.863,83.0,81.5,13.80,3055,42.40,16,163,0.876,0.00,0.00,,,96.80,1032,50.00,42.0,42.0,6.73,4.92,52.20,1.19,10.94,269
