RPM,MAP,VE New Rear,VE New Front
3976,68.2,100.0,112.0
3949,55.7,100.0,111.0
3917,55.3,100.0,111.0
3895,56.1,100.0,108.0
3880,56.4,100.0,108.0
4752,16.6,100.0,106.5
4189,74.9,100.0,106.5
3785,64.5,100.0,106.5
3778,64.9,100.0,106.5
3754,64.2,100.0,106.5
3748,65.3,100.0,105.5
2859,19.2,100.0,105.0
2754,17.7,100.0,105.0
4123,78.6,100.0,104.5
3742,65.3,100.0,104.5
2926,19.5,100.0,104.5
4088,90.4,100.0,104.0
4128,92.6,100.0,103.5
4111,91.9,100.0,103.5
4071,88.2,100.0,103.0
2822,17.7,100.0,101.5
3801,35.8,100.0,100.0
2753,19.9,100.0,97.0
2645,17.7,100.0,96.5
2982,18.1,100.0,95.0
3634,18.1,100.0,93.0
3258,20.3,100.0,93.0
2799,18.1,100.0,82.5
2784,17.7,100.0,82.5
2780,19.9,100.0,82.5
3894,66.8,99.5,111.5
3888,67.5,99.5,111.5
3898,67.9,99.5,110.5
3801,63.8,99.5,110.5
3720,63.8,99.5,110.5
3784,62.3,99.5,110.0
3859,55.0,99.5,109.5
3688,63.1,99.5,109.0
4072,74.5,99.5,108.0
2733,18.1,99.5,107.5
3946,54.6,99.5,107.0
3786,63.4,99.5,106.5
4147,80.8,99.5,104.0
3170,18.1,99.5,104.0
4167,81.9,99.5,103.5
4058,88.9,99.5,102.5
4026,88.5,99.5,102.0
3942,88.2,99.5,101.0
3969,20.3,99.5,100.0
3235,17.3,99.5,98.0
3044,18.8,99.5,94.0
2577,18.1,99.5,92.5
4037,68.6,99.0,112.0
3965,68.2,99.0,112.0
3960,71.2,99.0,112.0
1763,90.4,99.0,111.0
3996,69.7,99.0,110.5
3853,66.4,99.0,110.5
4020,72.7,99.0,110.0
3813,65.3,99.0,110.0
3887,55.7,99.0,109.5
3766,60.5,99.0,109.0
3909,66.4,99.0,108.5
3797,66.8,99.0,108.0
3769,66.8,99.0,108.0
3743,64.2,99.0,108.0
3660,63.4,99.0,108.0
4061,74.9,99.0,107.5
3954,52.0,99.0,107.0
3915,55.7,99.0,107.0
3906,56.1,99.0,107.0
2863,19.2,99.0,107.0
2820,18.4,99.0,107.0
2768,19.5,99.0,106.0
4251,83.7,99.0,104.5
4004,88.9,99.0,104.0
3954,87.8,99.0,103.0
2763,17.7,99.0,103.0
3890,87.8,99.0,102.0
3871,92.2,99.0,102.0
4294,87.4,99.0,100.5
3027,18.8,99.0,100.0
2803,17.7,99.0,84.0
4164,74.5,98.5,111.5
3977,68.6,98.5,109.5
3955,69.7,98.5,109.0
3852,67.1,98.5,109.0
3814,66.0,98.5,109.0
3700,64.2,98.5,109.0
4143,52.0,98.5,108.5
3011,18.4,98.5,107.5
3800,70.1,98.5,106.5
2877,18.8,98.5,106.0
4102,77.5,98.5,105.5
2825,18.8,98.5,105.0
4091,76.4,98.5,104.5
4127,80.0,98.5,103.0
3963,87.4,98.5,103.0
3835,55.7,98.5,103.0
2946,18.8,98.5,103.0
4050,88.2,98.5,102.5
4273,85.6,98.5,102.0
3080,18.8,98.5,102.0
3875,86.7,98.5,101.5
3977,87.8,98.5,101.0
3850,90.7,98.5,100.5
3697,93.3,98.5,98.5
3439,18.1,98.5,98.0
2930,17.3,98.5,97.0
4893,92.6,98.5,96.0
5025,93.7,98.5,95.0
2886,19.2,98.5,92.5
2674,21.4,98.5,82.0
2526,19.5,98.5,82.0
4047,64.9,98.0,112.0
4029,52.4,98.0,112.0
3847,63.8,98.0,111.0
3833,67.1,98.0,110.0
3990,72.3,98.0,109.5
3827,54.2,98.0,109.5
3778,62.0,98.0,107.5
3831,59.0,98.0,107.0
3662,63.4,98.0,107.0
3958,54.2,98.0,106.0
3686,66.4,98.0,104.5
3983,87.8,98.0,102.0
2960,21.4,98.0,102.0
3919,86.3,98.0,100.0
3143,18.1,98.0,97.0
3479,17.7,98.0,96.0
3295,17.7,98.0,96.0
2833,21.4,98.0,94.5
4051,74.1,97.5,110.5
4024,65.7,97.5,110.0
3852,70.1,97.5,108.5
3933,69.7,97.5,108.0
3905,70.1,97.5,108.0
3810,58.6,97.5,108.0
3620,64.2,97.5,107.0
2957,18.8,97.5,107.0
2948,19.5,97.5,107.0
2933,17.3,97.5,107.0
2810,19.5,97.5,107.0
2748,17.3,97.5,107.0
3977,45.0,97.5,105.5
3618,64.9,97.5,105.5
3604,65.3,97.5,105.5
3630,68.6,97.5,105.0
3614,65.3,97.5,105.0
3728,65.7,97.5,104.5
3718,58.6,97.5,104.5
3712,65.7,97.5,104.5
3708,65.7,97.5,104.5
3689,66.0,97.5,104.5
3409,20.6,97.5,104.0
3990,87.8,97.5,103.0
2894,19.2,97.5,102.5
4015,88.2,97.5,102.0
3946,88.5,97.5,102.0
3913,87.4,97.5,102.0
3848,89.6,97.5,101.5
3960,87.8,97.5,101.0
4626,92.6,97.5,100.5
3084,23.6,97.5,100.0
3533,18.1,97.5,98.0
4768,88.9,97.5,97.5
3689,94.1,97.5,96.0
3078,18.8,97.5,96.0
3416,18.8,97.5,95.0
3009,17.7,97.5,93.5
3262,17.7,97.5,93.0
3354,17.7,97.5,87.0
3121,21.0,97.5,83.0
4012,59.8,97.0,115.0
4001,49.8,97.0,111.0
3879,70.1,97.0,110.0
3758,60.1,97.0,109.0
3827,70.5,97.0,108.5
3623,63.4,97.0,107.0
2915,18.1,97.0,107.0
3742,59.8,97.0,106.5
3619,67.9,97.0,105.5
2506,18.8,97.0,105.0
3002,19.2,97.0,104.5
3689,52.0,97.0,104.0
3652,66.4,97.0,104.0
3603,66.4,97.0,104.0
3656,66.0,97.0,103.5
3600,66.0,97.0,103.5
3947,85.2,97.0,103.0
3884,84.5,97.0,103.0
3213,19.2,97.0,103.0
2851,18.8,97.0,103.0
3920,84.1,97.0,102.5
3887,83.7,97.0,102.5
3875,84.8,97.0,102.5
2902,18.4,97.0,102.5
3939,87.1,97.0,101.5
3928,87.8,97.0,101.0
3888,84.5,97.0,101.0
3908,84.1,97.0,100.5
3850,84.5,97.0,100.5
4611,84.8,97.0,98.5
2802,17.3,97.0,98.5
2968,17.3,97.0,98.0
3663,93.7,97.0,96.0
3175,18.4,97.0,93.5
2686,17.7,97.0,83.5
2533,18.8,97.0,83.0
3695,17.7,96.5,111.0
3971,50.9,96.5,108.5
3194,17.3,96.5,107.0
2896,18.8,96.5,107.0
3676,57.5,96.5,105.0
3669,56.1,96.5,105.0
3607,65.7,96.5,105.0
3594,65.7,96.5,105.0
3593,66.0,96.5,105.0
3673,57.5,96.5,104.5
3600,66.0,96.5,104.5
4079,75.6,96.5,104.0
3637,58.3,96.5,104.0
3591,66.0,96.5,104.0
3098,19.2,96.5,104.0
2887,17.7,96.5,104.0
3583,65.7,96.5,103.5
3578,63.1,96.5,103.5
3784,84.1,96.5,103.0
2940,18.1,96.5,103.0
3944,86.3,96.5,102.5
3620,70.1,96.5,102.5
3637,65.3,96.5,102.0
3783,84.5,96.5,101.5
2828,18.4,96.5,101.5
3900,87.8,96.5,101.0
3838,84.1,96.5,100.5
3828,86.7,96.5,100.5
2879,19.2,96.5,100.5
3971,87.8,96.5,100.0
3090,18.4,96.5,97.0
3430,19.5,96.5,96.5
5025,90.0,96.5,96.0
3526,18.4,96.5,94.5
2870,18.4,96.5,92.5
2356,19.9,96.5,81.5
3941,49.8,96.0,110.5
3907,49.4,96.0,110.5
3964,50.9,96.0,107.5
2901,17.3,96.0,107.0
3705,58.3,96.0,106.5
3563,58.6,96.0,106.5
2894,19.2,96.0,106.5
2861,18.8,96.0,106.5
3961,51.6,96.0,106.0
3619,57.9,96.0,106.0
3611,65.3,96.0,105.0
3594,65.7,96.0,105.0
3591,64.9,96.0,105.0
2703,19.9,96.0,105.0
3652,57.9,96.0,104.5
3591,56.8,96.0,104.5
3579,65.7,96.0,104.5
3552,59.8,96.0,104.5
3902,82.6,96.0,104.0
3666,69.0,96.0,104.0
3630,61.2,96.0,104.0
3601,65.7,96.0,104.0
2813,20.3,96.0,104.0
3700,57.2,96.0,103.5
3648,57.5,96.0,103.5
3577,65.7,96.0,103.5
3570,66.0,96.0,103.5
3668,66.8,96.0,103.0
2924,18.1,96.0,103.0
4042,88.5,96.0,102.5
3559,66.0,96.0,102.5
3259,18.1,96.0,102.5
3035,18.1,96.0,101.5
3861,85.6,96.0,100.5
2799,19.9,96.0,100.5
2797,18.1,96.0,100.0
3711,76.4,96.0,99.5
2895,18.4,96.0,99.0
2894,19.2,96.0,98.5
3553,18.4,96.0,98.0
2952,18.4,96.0,98.0
2899,19.2,96.0,97.5
3428,18.1,96.0,93.5
3440,18.1,96.0,92.0
3863,17.3,96.0,86.5
3373,18.4,96.0,86.0
3753,20.3,96.0,84.0
2409,18.8,96.0,83.5
2638,18.1,96.0,82.0
3979,58.3,95.5,111.5
3993,50.2,95.5,111.0
3755,59.8,95.5,108.5
3863,52.0,95.5,108.0
3772,63.8,95.5,107.5
3737,59.8,95.5,107.5
3576,64.5,95.5,106.5
3766,71.6,95.5,106.0
3659,56.4,95.5,105.0
3645,57.5,95.5,105.0
3614,57.9,95.5,105.0
3587,59.0,95.5,104.5
3676,57.9,95.5,104.0
3650,71.2,95.5,104.0
3630,68.6,95.5,104.0
3623,69.0,95.5,104.0
3740,73.4,95.5,103.5
3658,57.9,95.5,103.5
3654,58.3,95.5,103.5
3628,66.4,95.5,103.5
3639,70.5,95.5,103.0
3598,66.4,95.5,103.0
3480,61.6,95.5,103.0
3231,17.7,95.5,103.0
4070,17.7,95.5,102.5
3814,84.8,95.5,102.5
3621,65.7,95.5,102.5
3615,66.4,95.5,102.5
3832,84.8,95.5,101.5
3831,84.8,95.5,101.5
3827,84.5,95.5,101.5
3817,85.2,95.5,101.5
3812,85.9,95.5,101.5
3582,65.7,95.5,101.5
3783,83.7,95.5,101.0
3851,84.8,95.5,100.5
3823,84.8,95.5,100.5
3821,90.0,95.5,99.0
3942,88.2,95.5,98.0
3069,17.3,95.5,94.5
3240,18.4,95.5,93.0
2547,18.8,95.5,82.0
2379,19.5,95.5,81.5
3967,85.9,95.0,112.5
3959,49.4,95.0,111.5
3970,49.8,95.0,111.0
3870,49.4,95.0,109.0
3987,50.2,95.0,108.5
3768,52.7,95.0,107.0
3796,52.4,95.0,106.0
3732,56.8,95.0,106.0
3655,53.8,95.0,105.5
3557,64.5,95.0,105.5
3633,57.9,95.0,105.0
3584,58.3,95.0,105.0
2731,17.3,95.0,105.0
2938,18.4,95.0,104.5
3702,82.3,95.0,104.0
3559,66.0,95.0,104.0
3835,83.4,95.0,103.5
3727,72.7,95.0,103.5
3641,66.8,95.0,103.5
3612,65.7,95.0,103.5
3582,66.4,95.0,103.5
3621,60.1,95.0,103.0
3589,65.7,95.0,103.0
3569,56.4,95.0,103.0
3503,65.3,95.0,103.0
2911,19.5,95.0,103.0
2874,18.8,95.0,103.0
3840,84.8,95.0,102.5
3807,84.5,95.0,102.5
3533,66.4,95.0,102.5
3804,84.5,95.0,102.0
3771,84.1,95.0,102.0
3589,65.7,95.0,102.0
3844,84.8,95.0,101.5
3837,85.2,95.0,101.5
3590,62.7,95.0,101.5
3581,63.4,95.0,101.0
2731,18.4,95.0,101.0
3840,84.8,95.0,100.5
3516,59.8,95.0,100.5
3809,87.1,95.0,100.0
3837,85.9,95.0,99.5
3535,96.3,95.0,98.0
3552,95.2,95.0,97.0
3905,18.8,95.0,96.5
2986,19.2,95.0,95.5
2864,19.2,95.0,95.5
2676,17.7,95.0,95.0
2582,18.4,95.0,95.0
3905,19.2,95.0,93.5
2960,19.5,95.0,93.5
3050,18.8,95.0,92.5
3006,19.2,95.0,92.5
3038,19.5,95.0,89.0
3897,33.6,95.0,88.0
4052,17.3,95.0,85.5
2580,18.1,95.0,83.0
2775,21.0,95.0,82.5
3967,49.8,94.5,108.0
3804,50.2,94.5,108.0
3980,48.7,94.5,107.5
2563,20.3,94.5,107.0
3735,53.1,94.5,106.5
3688,63.1,94.5,106.0
3715,53.1,94.5,105.5
3633,60.5,94.5,105.0
2759,19.5,94.5,105.0
3601,60.9,94.5,104.5
3542,57.2,94.5,104.5
2667,21.0,94.5,104.5
3700,57.9,94.5,104.0
3680,57.2,94.5,104.0
3646,60.1,94.5,104.0
3635,57.5,94.5,104.0
3629,60.9,94.5,104.0
3584,60.9,94.5,104.0
3551,56.8,94.5,104.0
3541,70.1,94.5,104.0
3541,57.5,94.5,104.0
3766,78.9,94.5,103.5
3640,69.0,94.5,103.5
3571,56.8,94.5,103.5
3753,78.6,94.5,103.0
3657,57.2,94.5,103.0
3654,70.1,94.5,103.0
3614,60.9,94.5,103.0
3567,56.4,94.5,103.0
3552,66.0,94.5,103.0
3531,60.5,94.5,103.0
3531,57.2,94.5,103.0
3812,81.2,94.5,102.5
3680,69.3,94.5,102.5
3584,57.2,94.5,102.5
3580,60.5,94.5,102.5
3536,66.8,94.5,102.5
3504,58.6,94.5,102.5
3485,65.7,94.5,102.5
3465,62.3,94.5,102.5
3668,52.4,94.5,102.0
3636,66.4,94.5,102.0
3589,65.3,94.5,102.0
3457,62.7,94.5,102.0
3798,85.2,94.5,101.5
3445,60.9,94.5,101.5
3716,84.8,94.5,101.0
3642,69.7,94.5,101.0
3490,63.8,94.5,101.0
3483,63.4,94.5,101.0
3569,66.8,94.5,100.5
2814,18.4,94.5,100.5
3764,82.6,94.5,100.0
3549,60.9,94.5,99.5
3729,88.2,94.5,99.0
3549,94.4,94.5,99.0
3506,97.0,94.5,98.0
3211,18.1,94.5,98.0
2652,19.2,94.5,98.0
3525,97.0,94.5,97.0
2663,18.8,94.5,95.5
3129,19.9,94.5,93.5
2782,17.7,94.5,93.0
2411,20.6,94.5,91.0
2825,19.2,94.5,89.5
2784,20.6,94.5,82.5
2713,26.2,94.5,82.5
4215,43.5,94.0,121.5
3896,49.4,94.0,110.5
3926,49.0,94.0,109.0
3707,55.3,94.0,108.0
3970,49.0,94.0,107.5
2690,20.3,94.0,107.0
3022,18.8,94.0,106.5
2803,18.1,94.0,106.5
3785,58.6,94.0,106.0
3741,69.3,94.0,106.0
3762,56.8,94.0,105.5
3672,70.1,94.0,105.0
3540,65.3,94.0,105.0
2743,18.8,94.0,105.0
3727,70.8,94.0,104.5
3683,60.9,94.0,104.5
2705,18.8,94.0,104.5
3743,65.7,94.0,104.0
3687,57.5,94.0,104.0
3650,60.5,94.0,104.0
3625,58.6,94.0,104.0
3596,60.1,94.0,104.0
3558,56.4,94.0,104.0
2796,17.7,94.0,104.0
3514,69.3,94.0,103.5
3474,60.1,94.0,103.5
3670,56.8,94.0,103.0
3614,56.4,94.0,103.0
3530,65.3,94.0,103.0
3489,62.0,94.0,103.0
3443,62.7,94.0,103.0
3738,78.2,94.0,102.5
3567,60.5,94.0,102.5
3447,62.7,94.0,102.5
2971,17.7,94.0,102.5
2941,17.7,94.0,102.5
2752,18.8,94.0,102.5
3741,78.9,94.0,102.0
3602,67.5,94.0,102.0
3505,60.9,94.0,102.0
3487,60.5,94.0,102.0
2841,17.7,94.0,102.0
3558,63.1,94.0,101.5
3534,61.6,94.0,101.5
3487,60.9,94.0,101.5
3428,60.9,94.0,101.5
3529,64.2,94.0,101.0
3493,61.6,94.0,101.0
3561,66.8,94.0,100.5
3495,62.7,94.0,100.5
3457,62.7,94.0,100.0
2382,19.2,94.0,100.0
3491,62.7,94.0,99.5
2850,26.5,94.0,99.5
3813,89.6,94.0,99.0
3658,90.0,94.0,97.5
3128,18.4,94.0,97.5
2881,17.3,94.0,97.5
3517,96.7,94.0,97.0
3491,97.0,94.0,97.0
2641,18.4,94.0,96.5
2771,19.2,94.0,96.0
3030,19.5,94.0,95.0
2998,18.4,94.0,93.5
2936,19.2,94.0,93.5
3006,19.5,94.0,93.0
2847,19.2,94.0,92.5
2692,17.3,94.0,92.5
2778,18.8,94.0,92.0
3225,19.2,94.0,91.5
2705,16.6,94.0,90.5
2972,19.2,94.0,90.0
3286,21.7,94.0,83.5
2765,21.7,94.0,82.5
2745,19.2,94.0,82.5
2718,19.2,94.0,82.5
3800,49.8,93.5,109.0
3718,51.3,93.5,108.0
3977,49.0,93.5,107.5
3729,51.3,93.5,107.0
3979,49.0,93.5,106.5
2643,19.2,93.5,106.5
3676,53.1,93.5,106.0
3587,54.2,93.5,105.0
2809,18.8,93.5,105.0
2732,19.9,93.5,105.0
2827,18.8,93.5,104.5
3566,56.4,93.5,104.0
2868,17.7,93.5,104.0
3774,78.6,93.5,103.5
3572,63.4,93.5,103.5
3576,61.6,93.5,103.0
3555,61.2,93.5,103.0
3544,66.8,93.5,103.0
3543,61.2,93.5,103.0
3520,58.3,93.5,103.0
3443,62.7,93.5,103.0
3585,60.9,93.5,102.5
3508,58.6,93.5,102.5
4196,90.7,93.5,102.0
3697,65.7,93.5,102.0
3538,63.8,93.5,102.0
3527,63.8,93.5,102.0
3410,64.5,93.5,102.0
2930,18.1,93.5,102.0
2851,19.9,93.5,102.0
3628,55.7,93.5,101.5
3576,62.7,93.5,101.5
3560,66.4,93.5,101.5
3446,62.7,93.5,101.5
3565,63.4,93.5,101.0
3523,67.1,93.5,101.0
3798,84.5,93.5,100.5
3568,57.2,93.5,100.5
2766,19.5,93.5,100.5
3531,62.0,93.5,100.0
3468,45.4,93.5,100.0
3447,62.7,93.5,100.0
3428,62.7,93.5,100.0
3113,19.2,93.5,100.0
3475,63.4,93.5,99.5
3655,87.8,93.5,99.0
3464,59.4,93.5,98.5
3483,97.0,93.5,97.5
3668,89.3,93.5,97.0
3500,45.0,93.5,96.0
2532,18.4,93.5,95.0
3315,18.4,93.5,94.5
3720,18.4,93.5,94.0
2795,19.2,93.5,93.0
2744,18.8,93.5,90.5
2997,18.4,93.5,90.0
3319,18.1,93.5,88.5
2896,18.8,93.5,88.0
3410,19.5,93.5,87.0
2962,17.7,93.5,83.0
2394,19.2,93.5,81.5
3394,19.2,93.5,80.5
2757,19.2,93.0,109.0
3730,51.3,93.0,108.5
3722,52.0,93.0,108.0
3981,49.0,93.0,107.5
3711,56.8,93.0,107.0
2903,17.7,93.0,106.5
3819,49.0,93.0,106.0
2892,19.5,93.0,106.0
3661,72.7,93.0,105.5
2751,19.2,93.0,105.0
2821,18.1,93.0,104.5
3798,78.9,93.0,104.0
3607,57.2,93.0,104.0
3547,56.1,93.0,104.0
2859,19.2,93.0,104.0
3575,57.2,93.0,103.5
3571,56.8,93.0,103.5
3746,54.2,93.0,103.0
3667,55.3,93.0,103.0
3610,58.3,93.0,103.0
3591,56.8,93.0,103.0
3583,57.2,93.0,103.0
3575,57.9,93.0,103.0
3753,81.2,93.0,102.5
3549,56.8,93.0,102.5
3505,63.8,93.0,102.5
3488,62.0,93.0,102.5
2882,18.8,93.0,102.5
3579,58.6,93.0,102.0
3573,71.2,93.0,102.0
3524,66.4,93.0,102.0
3509,61.6,93.0,102.0
3469,66.4,93.0,102.0
3700,80.0,93.0,101.5
3604,60.9,93.0,101.5
3494,62.0,93.0,101.5
3493,61.6,93.0,101.5
3477,60.5,93.0,101.5
3467,68.6,93.0,101.5
3433,66.8,93.0,101.5
3420,65.3,93.0,101.5
2804,18.4,93.0,101.5
3732,79.3,93.0,101.0
3698,79.7,93.0,101.0
3557,62.0,93.0,101.0
3514,59.8,93.0,101.0
3502,60.9,93.0,101.0
3444,66.8,93.0,101.0
3582,67.1,93.0,100.5
3577,61.2,93.0,100.5
3530,60.1,93.0,100.5
3516,63.1,93.0,100.5
3515,66.8,93.0,100.5
3508,59.4,93.0,100.5
3504,69.7,93.0,100.5
3491,66.8,93.0,100.5
3474,61.6,93.0,100.5
2900,18.4,93.0,100.5
3485,63.4,93.0,100.0
2760,18.8,93.0,99.0
3430,60.1,93.0,98.5
3778,87.4,93.0,98.0
3731,87.1,93.0,98.0
2990,19.2,93.0,97.5
2831,19.5,93.0,96.5
3472,97.4,93.0,95.0
2843,19.9,93.0,95.0
2916,18.8,93.0,93.0
2808,18.8,93.0,93.0
2745,18.8,93.0,92.5
3082,18.4,93.0,91.0
3340,18.1,93.0,90.5
2920,18.4,93.0,89.0
2750,43.9,93.0,89.0
3307,19.5,93.0,83.5
2694,17.3,93.0,82.5
2500,18.4,93.0,82.0
3696,51.6,92.5,108.0
3721,50.9,92.5,107.5
3717,51.3,92.5,107.5
3742,51.3,92.5,107.0
3721,50.5,92.5,106.5
3717,51.3,92.5,106.5
3775,50.2,92.5,105.5
3766,50.5,92.5,105.5
3819,51.3,92.5,105.0
3757,60.5,92.5,105.0
3481,56.1,92.5,105.0
3675,74.1,92.5,104.0
3697,59.8,92.5,103.5
3696,54.6,92.5,103.5
3659,73.8,92.5,103.5
3675,60.5,92.5,103.0
3674,76.7,92.5,103.0
3520,58.6,92.5,103.0
3490,58.6,92.5,103.0
3683,78.9,92.5,102.5
3645,63.1,92.5,102.5
3616,55.7,92.5,102.5
3540,57.5,92.5,102.5
3733,80.0,92.5,102.0
3727,78.9,92.5,102.0
3724,78.9,92.5,102.0
3694,78.9,92.5,102.0
3582,66.0,92.5,102.0
3541,57.9,92.5,102.0
3531,64.2,92.5,102.0
3491,64.5,92.5,102.0
3489,71.9,92.5,102.0
3473,61.2,92.5,102.0
3564,64.2,92.5,101.5
3548,63.1,92.5,101.5
3495,63.8,92.5,101.5
3489,62.3,92.5,101.5
3478,62.0,92.5,101.5
3469,68.6,92.5,101.5
3424,60.5,92.5,101.5
3708,78.9,92.5,101.0
3680,80.8,92.5,101.0
3665,80.4,92.5,101.0
3576,55.3,92.5,101.0
3535,69.7,92.5,101.0
3505,64.2,92.5,101.0
3499,67.9,92.5,101.0
3487,66.8,92.5,101.0
3487,63.4,92.5,101.0
3482,58.3,92.5,101.0
3544,63.4,92.5,100.5
3541,61.6,92.5,100.5
3521,61.2,92.5,100.5
3505,62.7,92.5,100.5
3498,59.4,92.5,100.5
3495,69.0,92.5,100.5
3492,68.6,92.5,100.5
3480,70.8,92.5,100.5
3476,64.2,92.5,100.5
3461,63.8,92.5,100.5
3443,58.3,92.5,100.5
3692,79.7,92.5,100.0
3663,83.4,92.5,100.0
3508,67.5,92.5,100.0
