Time,WBO2 F,WBO2 R,ET,WBO2 F,WBO2 R,MAP,B+,RPM,TP,Set Lambda,Spark Knock F,Spark Knock R,VE Front,VE Rear ,Lambda1,Lambda2,IAT,Idle Set,IAC,Advance F,Advance R,INJ PW F,INJ PW R,VSS,TP Sensor,Twist Pos,SWL(hex)
5759,0.884,0.829,163,12.9,12.1,34.65,13.8,1059,4,0.948,0,0,67.5,73.5,,,105.8,1032,41,18.5,18.5,3.77,3.78,0,0.7,0,269
5849,0.87,0.836,163,12.7,12.2,34.28,13.8,1066,4,0.95,0,0,67.5,73.5,,,105.8,1032,41,18,18,3.74,3.77,0,0.7,0,269
5931,0.87,0.836,163,12.7,12.2,33.55,13.8,1068,4,0.95,0,0,68,73.5,,,105.8,1032,41,17,17,3.68,3.67,0,0.72,0,269
6009,0.863,0.87,163,12.6,12.7,33.92,13.8,1031,4,0.979,0,0,68,74,,,105.8,1032,41,19.5,20,3.58,3.79,0,0.7,0,269
6099,0.849,0.87,163,12.4,12.7,36.5,13.8,1007,4,0.946,0,0,68.5,74,,,105.8,1032,41,21.5,21.5,4.03,3.95,0,0.7,0,269
6181,0.856,0.877,163,12.5,12.8,35.76,13.8,1016,4,0.946,0,0,68,74,,,105.8,1032,41,21.5,21.5,3.94,3.96,0,0.7,0,269
6258,0.856,0.842,163,12.5,12.3,35.02,13.8,1026,4,0.948,0,0,68,73.5,,,105.8,1032,41,20.5,20.5,3.9,3.89,0,0.7,0,269
6349,0.856,0.842,163,12.5,12.3,35.02,13.8,1018,4,0.946,0,0,68,74,,,105.8,1032,41,21,21,3.85,3.89,0,0.72,0,269
6431,0.856,0.829,163,12.5,12.1,35.02,13.8,1033,4,0.948,0,0,68,73.5,,,105.8,1032,41,20.5,20.5,3.84,3.88,0,0.7,0,269
6521,0.863,0.822,163,12.6,12,34.28,13.8,1055,4,0.948,0,0,68,73.5,,,105.8,1032,41,18.5,18.5,3.74,3.76,0,0.72,0,269
6599,0.856,0.87,163,12.5,12.7,35.76,13.8,1034,4,0.948,0,0,68,74,,,105.8,1032,41,19.5,19.5,3.74,3.9,0,0.72,0,269
6680,0.849,0.877,163,12.4,12.8,35.76,13.8,1037,4,0.948,0,0,67.5,73.5,,,105.8,1032,41,20,20,3.87,3.93,0,0.72,0,269
6758,0.863,0.849,163,12.6,12.4,34.28,13.8,1058,4,0.948,0,0,68,74,,,105.8,1032,41,18.5,18.5,3.73,3.77,0,0.7,0,269
6840,0.863,0.822,163,12.6,12,34.28,13.8,1060,4,0.948,0,0,68,74,,,105.8,1032,41,18,18,3.73,3.72,0,0.7,0,269
6930,0.856,0.829,163,12.5,12.1,34.28,13.8,1044,4,0.948,0,0,68,73.5,,,105.8,1032,41,18.5,18.5,3.76,3.74,0,0.7,0,269
7020,0.849,0.822,163,12.4,12,34.65,13.8,1027,4,0.948,0,0,67.5,74,,,105.8,1032,41,20.5,20.5,3.78,3.86,0,0.7,0,269
7098,0.849,0.822,163,12.4,12,35.39,13.8,1019,4,0.948,0,0,68,74,,,105.8,1032,41,21,21,3.85,3.88,0,0.7,0,269
7180,0.842,0.829,165,12.3,12.1,35.39,13.8,1016,4,0.946,0,0,68,74,,,105.8,1032,41,21,21,3.9,3.91,0,0.7,0,269
7270,0.849,0.829,165,12.4,12.1,34.28,13.8,1070,4,0.95,0,0,67.5,73.5,,,105.8,1032,41,18.5,18.5,3.74,3.74,0,0.7,0,269
7348,0.856,0.829,163,12.5,12.1,34.28,13.8,1052,4,0.979,0,0,67.5,73.5,,,105.8,1024,41,17.5,17.5,3.71,3.63,0,0.7,0,269
7438,0.863,0.863,163,12.6,12.6,36.87,13.8,1010,4,0.946,0,0,68.5,74,,,105.8,1032,41,21,18,4.06,3.89,0,0.72,0,269
7528,0.87,0.877,163,12.7,12.8,33.92,13.8,1060,4,0.948,0,0,68,73.5,,,105.8,1032,41,20,20,4.01,3.78,0,0.7,0,269
7610,0.877,0.863,165,12.8,12.6,33.92,13.8,1032,4,0.948,0,0,68,74,,,105.8,1032,41,19.5,19.5,3.72,3.79,0,0.7,0,269
7688,0.877,0.904,165,12.8,13.2,37.97,13.8,986,4,0.946,0,0,69,74,,,105.8,1024,41,23,20.5,4.21,4.1,0,0.72,0,269
7778,0.877,0.911,165,12.8,13.3,36.13,13.8,1002,4,0.946,0,0,69,74,,,105.8,1024,41,22.5,22.5,4.21,4.03,0,0.7,0,269
7860,0.897,0.884,165,13.1,12.9,35.39,13.8,1025,4,0.948,0,0,68,73.5,,,105.8,1024,41,20.5,20.5,3.89,3.88,0,0.72,0,269
7938,0.87,0.849,165,12.7,12.4,35.76,13.8,1019,4,0.948,0,0,68,74,,,105.8,1024,41,20.5,20.5,3.92,3.92,0,0.68,0,269
8020,0.87,0.829,165,12.7,12.1,35.02,13.8,1032,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,20,20,3.8,3.86,0,0.72,0,269
8098,0.856,0.849,165,12.5,12.4,35.39,13.8,997,5,0.946,0,0,68,74,,,105.8,1024,41,21.5,21.5,3.88,3.91,0,0.72,0,269
8179,0.856,0.87,165,12.5,12.7,37.24,13.8,1003,4,0.946,0,0,68.5,74,,,105.8,1024,41,22.5,22.5,4.12,4.11,0,0.7,0,269
8257,0.863,0.877,165,12.6,12.8,35.02,13.8,1045,4,0.948,0,0,67.5,74,,,105.8,1024,41,18.5,18.5,3.8,3.88,0,0.7,0,269
8339,0.856,0.87,165,12.5,12.7,34.65,13.8,1033,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,19.5,19.5,3.78,3.88,0,0.7,0,269
8417,0.856,0.87,165,12.5,12.7,36.13,13.8,1029,4,0.948,0,0,68,73.5,,,105.8,1024,41,20,20,3.94,3.91,0,0.72,0,269
8491,0.87,0.863,165,12.7,12.6,35.02,13.8,1031,4,0.948,0,0,68,73.5,,,105.8,1024,41,20,20,3.83,3.85,0,0.7,0,269
8569,0.856,0.822,165,12.5,12,35.39,13.8,1012,4,0.946,0,0,68,74,,,105.8,1024,41,21,21,3.87,3.92,0,0.72,0,269
8650,0.849,0.822,165,12.4,12,35.39,13.8,1030,4,0.948,0,0,68,73.5,,,105.8,1024,41,20.5,20.5,3.87,3.92,0,0.7,0,269
8741,0.849,0.815,165,12.4,11.9,34.28,13.8,1056,4,0.948,0,0,68,73.5,,,105.8,1024,41,17.5,17.5,3.76,3.73,0,0.7,0,269
8818,0.849,0.849,165,12.4,12.4,36.13,13.8,1025,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,19.5,19.5,3.74,3.93,0,0.7,0,269
8900,0.842,0.863,165,12.3,12.6,36.87,13.9,1005,4,0.946,0,0,68.5,74,,,105.8,1024,41,21,21,4.08,4.06,0,0.7,0,269
8978,0.856,0.856,165,12.5,12.5,35.76,13.8,1015,4,0.946,0,0,68,74,,,105.8,1024,41,20.5,20.5,3.92,3.94,0,0.7,0,269
9060,0.856,0.884,165,12.5,12.9,37.24,13.8,996,4,0.946,0,0,68,74,,,105.8,1024,41,21.5,21.5,3.92,4.11,0,0.7,0,269
9138,0.856,0.904,165,12.5,13.2,36.5,13.8,1040,4,0.948,0,0,68.5,73.5,,,105.8,1024,41,21,21,4.05,3.99,0,0.72,0,269
9228,0.87,0.884,165,12.7,12.9,34.65,13.8,1044,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,17.5,17.5,3.78,3.73,0,0.7,0,269
9310,0.87,0.89,165,12.7,13,37.24,13.8,997,4,0.946,0,0,68.5,74,,,105.8,1024,41,20,22.5,4.1,4.06,0,0.7,0,269
9388,0.884,0.884,165,12.9,12.9,37.61,13.8,1005,4,0.946,0,0,69,74,,,105.8,1024,41,22.5,22.5,4.2,3.99,0,0.7,0,269
9470,0.87,0.884,165,12.7,12.9,36.13,13.8,1017,4,0.946,0,0,68,74,,,105.8,1024,41,21,21,3.94,3.99,0,0.72,0,269
9548,0.87,0.836,165,12.7,12.2,35.39,13.8,1028,4,0.948,0,0,68,73.5,,,105.8,1024,41,20.5,20.5,3.87,3.89,0,0.7,0,269
9629,0.863,0.829,165,12.6,12.1,35.02,13.8,1041,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,19.5,19.5,3.82,3.79,0,0.7,0,269
9720,0.849,0.822,165,12.4,12,35.02,13.8,1049,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,18,18,3.79,3.77,0,0.72,0,269
9810,0.836,0.822,165,12.2,12,35.02,13.8,1052,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,18,18,3.78,3.8,0,0.7,0,269
9887,0.836,0.822,165,12.2,12,34.65,13.8,1049,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,18,18,3.77,3.74,0,0.7,0,269
9973,0.836,0.856,165,12.2,12.5,35.02,13.8,1000,4,0.946,0,0,68,74,,,105.8,1024,41,20.5,21.5,3.86,4.07,0,0.72,0,269
10068,0.849,0.87,165,12.4,12.7,36.87,13.8,1038,5,0.948,0,0,68.5,74,,,105.8,1024,41,20.5,20.5,4.07,4.05,0,0.72,0,269
10150,0.87,0.877,165,12.7,12.8,34.28,13.8,1062,4,0.979,0,0,68,73.5,,,105.8,1024,41,17,17,3.74,3.74,0,0.7,0,269
10227,0.863,0.884,165,12.6,12.9,36.87,13.8,998,4,0.946,0,0,68,73.5,,,105.8,1024,41,19.5,21,3.75,3.98,0,0.72,0,269
10309,0.856,0.904,165,12.5,13.2,38.34,13.8,966,4,0.946,0,0,69,74,,,105.8,1024,41,22,21,4.28,4.23,0,0.7,0,269
10399,0.877,0.89,165,12.8,13,36.5,13.8,1003,4,0.946,0,0,68,74,,,105.8,1024,41,22,22.5,3.98,4.12,0,0.7,0,269
10477,0.87,0.842,165,12.7,12.3,36.13,13.8,1009,4,0.946,0,0,68,74,,,105.8,1024,41,21,21,3.96,3.96,0,0.72,0,269
10559,0.863,0.842,165,12.6,12.3,36.5,13.8,996,4,0.946,0,0,68.5,74,,,105.8,1024,41,23,23,4.03,4.01,0,0.72,0,269
10637,0.856,0.842,165,12.5,12.3,35.76,13.8,1027,4,0.948,0,0,68,74,,,105.8,1024,41,21,21,3.92,4.03,0,0.7,0,269
10719,0.856,0.829,165,12.5,12.1,35.39,13.8,1027,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,19.5,19.5,3.82,3.88,0,0.7,0,269
10809,0.849,0.829,165,12.4,12.1,35.76,13.8,996,4,0.946,0,0,68,74,,,105.8,1024,41,21.5,21.5,3.92,4.04,0,0.7,0,269
10887,0.842,0.829,165,12.3,12.1,36.87,13.8,1011,4,0.946,0,0,68.5,74,,,105.8,1024,41,21.5,21.5,4.06,4.04,0,0.7,0,269
10978,0.849,0.829,165,12.4,12.1,35.02,13.8,1033,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,19.5,19.5,3.82,3.88,0,0.7,0,269
11060,0.849,0.849,165,12.4,12.4,36.5,13.8,1019,4,0.948,0,0,68,73.5,,,105.8,1024,41,20,20,3.85,3.94,0,0.72,0,269
11138,0.849,0.849,165,12.4,12.4,36.13,13.8,1048,4,0.948,0,0,68,73.5,,,105.8,1024,41,20,20,3.95,3.93,0,0.72,0,269
11211,0.849,0.822,165,12.4,12,33.92,13.8,1071,4,0.95,0,0,67.5,73.5,,,107.6,1024,41,16,16,3.68,3.71,0,0.7,0,269
11302,0.849,0.87,165,12.4,12.7,36.13,13.8,1026,4,0.979,0,0,68,74,,,107.6,1024,41,18.5,18.5,3.84,3.76,0,0.72,0,269
11379,0.849,0.863,165,12.4,12.6,36.5,13.8,1032,4,0.948,0,0,68,73.5,,,107.6,1024,41,20,19.5,4.01,3.83,0,0.72,0,269
11470,0.863,0.877,165,12.6,12.8,35.02,13.8,1035,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,19.5,19.5,3.8,3.81,0,0.72,0,269
11547,0.863,0.884,165,12.6,12.9,36.87,13.8,1001,4,0.946,0,0,68.5,74,,,107.6,1024,41,21,21.5,4.08,4.03,0,0.72,0,269
11629,0.877,0.884,165,12.8,12.9,35.76,13.8,1018,4,0.946,0,0,68.5,74,,,107.6,1024,41,21.5,21.5,4.13,3.95,0,0.72,0,269
11711,0.87,0.884,165,12.7,12.9,34.65,13.8,1047,4,0.948,0,0,67.5,73.5,,,107.6,1024,41,18.5,18.5,3.78,3.82,0,0.7,0,269
11789,0.87,0.842,165,12.7,12.3,34.65,13.8,1045,5,0.948,0,0,67.5,73.5,,,107.6,1024,41,18,18,3.78,3.76,0,0.72,0,269
11879,0.87,0.822,165,12.7,12,35.02,13.8,1032,4,0.948,0,0,67.5,73.5,,,105.8,1024,41,19.5,19.5,3.78,3.84,0,0.7,0,269
11961,0.856,0.822,165,12.5,12,35.39,13.8,1024,4,0.948,0,0,68,73.5,,,107.6,1024,41,20,20,3.87,3.87,0,0.7,0,269
12039,0.849,0.829,167,12.4,12.1,35.02,13.8,1026,4,0.948,0,0,68,74,,,107.6,1024,41,20,20,3.84,3.88,0,0.7,0,269
12129,0.849,0.822,167,12.4,12,35.76,13.8,1019,4,0.948,0,0,68,74,,,107.6,1024,41,20.5,20.5,3.9,3.89,0,0.7,0,269
12219,0.849,0.829,167,12.4,12.1,35.76,13.8,1025,4,0.948,0,0,68,73.5,,,107.6,1024,41,20.5,20.5,3.9,3.85,0,0.7,0,269
12301,0.849,0.822,167,12.4,12,35.02,13.8,1020,4,0.948,0,0,68,73.5,,,107.6,1024,41,20.5,20.5,3.85,3.85,0,0.7,0,269
12379,0.849,0.822,167,12.4,12,35.76,13.8,1026,4,0.948,0,0,68,73.5,,,107.6,1024,41,20.5,20.5,3.9,3.9,0,0.72,0,269
12469,0.849,0.822,167,12.4,12,34.65,13.8,1056,4,0.948,0,0,67.5,73.5,,,107.6,1024,41,18,18,3.76,3.76,0,0.7,0,269
12571,0.849,0.863,167,12.4,12.6,36.13,13.8,1029,4,0.948,0,0,67.5,73.5,,,107.6,1024,41,19.5,19.5,3.77,3.94,0,0.7,0,269
12661,0.863,0.89,167,12.6,13,36.5,13.8,1023,4,0.948,0,0,68,73.5,,,107.6,1024,41,20.5,20.5,3.99,3.96,0,0.72,0,269
12740,0.87,0.884,167,12.7,12.9,35.39,13.8,1030,4,0.948,0,0,68,73.5,,,107.6,1024,41,20,20,3.85,3.86,0,0.7,0,269
12829,0.877,0.836,167,12.8,12.2,34.65,13.8,1044,5,0.948,0,0,67.5,73.5,,,107.6,1024,41,18.5,18.5,3.78,3.83,0,0.72,0,269
12911,0.87,0.829,167,12.7,12.1,35.39,13.8,1036,4,0.948,0,0,67.5,73.5,,,107.6,1024,41,18.5,18.5,3.76,3.8,0,0.7,0,269
12989,0.849,0.829,167,12.4,12.1,35.39,13.8,1024,4,0.948,0,0,68,73.5,,,107.6,1024,41,20,20,3.86,3.87,0,0.7,0,269
13079,0.849,0.822,167,12.4,12,34.65,13.9,1049,4,0.948,0,0,67.5,73.5,,,107.6,1024,41,18.5,18.5,3.77,3.84,0,0.7,0,269
13169,0.849,0.829,167,12.4,12.1,33.92,13.9,1069,4,0.95,0,0,67.5,73.5,,,107.6,1024,41,17.5,17.5,3.68,3.72,0,0.7,0,269
13251,0.856,0.849,167,12.5,12.4,33.92,13.8,1050,4,0.979,0,0,68,74,,,107.6,1024,41,17.5,17.5,3.6,3.73,0,0.7,0,269
13329,0.849,0.849,167,12.4,12.4,35.39,13.8,1049,4,0.948,0,0,67.5,73.5,,,107.6,1024,41,18.5,18.5,3.73,3.81,0,0.7,0,269
13419,0.849,0.849,167,12.4,12.4,34.28,13.8,1049,4,0.979,0,0,67.5,73.5,,,107.6,1024,41,17.5,17.5,3.62,3.6,0,0.7,0,269
13501,0.849,0.877,167,12.4,12.8,36.13,13.8,1015,4,0.946,0,0,68,74,,,107.6,1024,41,19.5,19.5,3.77,3.96,0,0.7,0,269
13579,0.863,0.89,167,12.6,13,36.87,13.8,1002,4,0.946,0,0,68.5,74,,,107.6,1024,41,21.5,21.5,4.08,4.03,0,0.7,0,269
13669,0.87,0.884,167,12.7,12.9,35.39,13.8,1049,4,0.948,0,0,68,73.5,,,107.6,1024,41,19.5,19.5,3.88,3.94,0,0.7,0,269
13771,0.877,0.849,167,12.8,12.4,34.28,13.8,1056,4,0.979,0,0,68,74,,,107.6,1024,41,17.5,17.5,3.74,3.72,0,0.7,0,269
13849,0.877,0.877,167,12.8,12.8,36.13,13.9,1018,4,0.946,0,0,68,74,,,107.6,1024,41,19.5,19.5,3.74,3.94,0,0.7,0,269
13931,0.87,0.877,167,12.7,12.8,37.24,13.8,990,4,0.946,0,0,68.5,74,,,107.6,1024,41,20.5,22,4.12,4.08,0,0.7,0,269
